order_id,order_date,customer_id,product,quantity,unit_price
O10001,2025-01-01,C1089,Leggings - Black,2,24.59
O10002,2025-01-01,C1284,Water Bottle 32oz,1,57.87
O10002,2025-01-01,C1284,Yoga Strap,1,27.43
O10002,2025-01-01,C1284,Sports Bra,1,69.88
O10003,2025-01-01,C1031,Water Bottle 32oz,2,57.87
O10003,2025-01-01,C1031,Resistance Bands Set,1,28.15
O10003,2025-01-01,C1031,Massage Ball,1,47.52
O10004,2025-01-01,C1330,Protein Powder - Vanilla,1,42.00
O10005,2025-01-01,C1038,Yoga Block (pair),1,61.78
O10006,2025-01-01,C1330,Resistance Bands Set,1,28.15
O10006,2025-01-01,C1330,Workout Towel,2,92.17
O10007,2025-01-01,C1025,Protein Powder - Vanilla,1,42.00
O10008,2025-01-01,C1370,Yoga Mat - Cork,1,78.00
O10009,2025-01-01,C1218,Massage Ball,2,47.52
O10010,2025-01-01,C1140,Resistance Bands Set,1,28.15
O10011,2025-01-01,C1317,Pre-Workout,1,22.30
O10011,2025-01-01,C1317,Gym Bag - Black,2,31.61
O10012,2025-01-01,C1245,Workout Towel,1,92.17
O10013,2025-01-01,C1214,Wireless Earbuds,1,64.99
O10014,2025-01-01,C1278,Leggings - Black,1,24.59
O10014,2025-01-01,C1278,Tank Top - Heather,1,36.20
O10014,2025-01-01,C1278,Tank Top - Black,1,39.66
O10015,2025-01-01,C1138,Tank Top - Black,1,39.66
O10016,2025-01-01,C1015,Kettlebell 20lb,1,69.17
O10016,2025-01-01,C1015,Workout Towel,1,92.17
O10016,2025-01-01,C1015,Yoga Mat - Standard,3,32.00
O10016,2025-01-01,C1015,Headband Set,3,81.11
O10017,2025-01-02,C1126,Workout Towel,2,92.17
O10017,2025-01-02,C1126,Phone Armband,2,18.23
O10018,2025-01-02,C1028,Water Bottle 32oz,1,57.87
O10018,2025-01-02,C1028,Protein Powder - Vanilla,2,42.00
O10018,2025-01-02,C1028,Leggings - Black,2,24.59
O10019,2025-01-02,C1090,Tank Top - Black,2,39.66
O10020,2025-01-02,C1357,Protein Powder - Vanilla,1,42.00
O10021,2025-01-02,C1358,Protein Powder - Vanilla,1,42.00
O10022,2025-01-02,C1288,Headband Set,1,81.11
O10022,2025-01-02,C1288,Phone Armband,1,18.23
O10022,2025-01-02,C1288,Gym Bag - Black,1,31.61
O10022,2025-01-02,C1288,Foam Roller,1,52.28
O10023,2025-01-02,C1269,Tank Top - Black,1,39.66
O10023,2025-01-02,C1269,Protein Powder - Chocolate,1,42.00
O10024,2025-01-02,C1367,Tank Top - Black,1,39.66
O10025,2025-01-02,C1075,Resistance Bands Set,2,28.15
O10025,2025-01-02,C1075,Wireless Earbuds,3,64.99
O10026,2025-01-02,C1191,BCAA Powder,1,34.86
O10026,2025-01-02,C1191,Leggings - Black,1,24.59
O10026,2025-01-02,C1191,Protein Powder - Vanilla,1,42.00
O10027,2025-01-02,C1080,Leggings - Olive,1,27.61
O10027,2025-01-02,C1080,Headband Set,1,81.11
O10027,2025-01-02,C1080,Foam Roller,2,52.28
O10028,2025-01-03,C1114,Foam Roller,1,52.28
O10028,2025-01-03,C1114,Leggings - Black,1,24.59
O10029,2025-01-03,C1065,Yoga Mat - Cork,2,78.00
O10030,2025-01-03,C1293,Kettlebell 20lb,3,69.17
O10031,2025-01-03,C1016,Tank Top - Black,2,39.66
O10032,2025-01-03,C1313,Protein Powder - Vanilla,1,42.00
O10033,2025-01-03,C1254,Adjustable Dumbbells,1,189.00
O10034,2025-01-03,C1177,Foam Roller,1,52.28
O10034,2025-01-03,C1177,Pre-Workout,2,22.30
O10034,2025-01-03,C1177,Yoga Block (pair),1,61.78
O10034,2025-01-03,C1177,Recovery Drink Mix,1,43.46
O10034,2025-01-03,C1177,BCAA Powder,1,34.86
O10035,2025-01-03,C1034,Yoga Strap,1,27.43
O10036,2025-01-03,C1024,Adjustable Dumbbells,1,189.00
O10037,2025-01-03,C1085,Headband Set,1,81.11
O10037,2025-01-03,C1085,Leggings - Black,2,24.59
O10037,2025-01-03,C1085,Tank Top - Heather,1,36.20
O10037,2025-01-03,C1085,Phone Armband,1,18.23
O10038,2025-01-03,C1388,Foam Roller,1,52.28
O10038,2025-01-03,C1388,Sports Bra,2,69.88
O10039,2025-01-03,C1150,Workout Towel,3,92.17
O10040,2025-01-03,C1037,Leggings - Black,1,24.59
O10041,2025-01-03,C1038,Yoga Block (pair),1,61.78
O10041,2025-01-03,C1038,Tank Top - Black,1,39.66
O10042,2025-01-03,C1247,Leggings - Olive,1,27.61
O10042,2025-01-03,C1247,Foam Roller,1,52.28
O10043,2025-01-03,C1105,Leggings - Olive,1,27.61
O10043,2025-01-03,C1105,Adjustable Dumbbells,1,189.00
O10043,2025-01-03,C1105,Phone Armband,2,18.23
O10043,2025-01-03,C1105,Tank Top - Heather,1,36.20
O10043,2025-01-03,C1105,Sports Bra,1,69.88
O10044,2025-01-03,C1218,BCAA Powder,1,34.86
O10045,2025-01-03,C1245,Yoga Mat - Cork,1,78.00
O10046,2025-01-03,C1326,Yoga Block (pair),1,61.78
O10047,2025-01-04,C1157,Headband Set,1,81.11
O10047,2025-01-04,C1157,BCAA Powder,1,34.86
O10048,2025-01-04,C1198,Leggings - Black,1,24.59
O10049,2025-01-04,C1228,Sports Bra,1,69.88
O10050,2025-01-04,C1115,Protein Powder - Vanilla,1,42.00
O10050,2025-01-04,C1115,Recovery Drink Mix,2,43.46
O10050,2025-01-04,C1115,Yoga Block (pair),1,61.78
O10051,2025-01-04,C1387,Phone Armband,2,18.23
O10051,2025-01-04,C1387,Yoga Mat - Standard,2,32.00
O10052,2025-01-04,C1214,BCAA Powder,1,34.86
O10052,2025-01-04,C1214,Headband Set,1,81.11
O10052,2025-01-04,C1214,Protein Powder - Vanilla,2,42.00
O10052,2025-01-04,C1214,Water Bottle 32oz,1,57.87
O10053,2025-01-04,C1292,Protein Powder - Vanilla,3,42.00
O10053,2025-01-04,C1292,Protein Powder - Chocolate,2,42.00
O10053,2025-01-04,C1292,BCAA Powder,1,34.86
O10053,2025-01-04,C1292,Pre-Workout,1,22.30
O10054,2025-01-04,C1349,Pre-Workout,2,22.30
O10054,2025-01-04,C1349,Resistance Bands Set,1,28.15
O10055,2025-01-04,C1372,Yoga Block (pair),1,61.78
O10055,2025-01-04,C1372,Leggings - Black,1,24.59
O10055,2025-01-04,C1372,Phone Armband,1,18.23
O10056,2025-01-04,C1234,Yoga Mat - Cork,1,78.00
O10056,2025-01-04,C1234,Protein Powder - Chocolate,1,42.00
O10056,2025-01-04,C1234,Leggings - Olive,1,27.61
O10056,2025-01-04,C1234,Yoga Block (pair),2,61.78
O10057,2025-01-04,C1054,Yoga Strap,2,27.43
O10057,2025-01-04,C1054,Gym Bag - Black,2,31.61
O10058,2025-01-05,C1135,Headband Set,1,81.11
O10059,2025-01-05,C1242,Workout Towel,1,92.17
O10060,2025-01-05,C1316,Recovery Drink Mix,1,43.46
O10060,2025-01-05,C1316,Leggings - Black,2,24.59
O10061,2025-01-05,C1169,Yoga Mat - Standard,2,32.00
O10061,2025-01-05,C1169,Workout Towel,1,92.17
O10062,2025-01-05,C1155,Headband Set,2,81.11
O10063,2025-01-05,C1350,Water Bottle 32oz,1,57.87
O10064,2025-01-05,C1380,Tank Top - Black,1,39.66
