date,day_of_week,covers,weather,notes
2024-05-01,Wednesday,85,rain,
2024-05-02,Thursday,122,clear,
2024-05-03,Friday,189,clear,
2024-05-04,Saturday,173,rain,
2024-05-05,Sunday,174,clear,
2024-05-06,Monday,64,rain,
2024-05-07,Tuesday,57,snow,
2024-05-08,Wednesday,87,rain,
2024-05-09,Thursday,129,hot,
2024-05-10,Friday,203,clear,
2024-05-11,Saturday,195,clear,
2024-05-12,Sunday,208,rain,Mother's Day
2024-05-13,Monday,79,clear,
2024-05-14,Tuesday,73,rain,
2024-05-15,Wednesday,99,cloudy,
2024-05-16,Thursday,136,cloudy,
2024-05-17,Friday,193,clear,
2024-05-18,Saturday,199,cloudy,
2024-05-19,Sunday,143,clear,
2024-05-20,Monday,71,clear,
2024-05-21,Tuesday,84,cloudy,
2024-05-22,Wednesday,116,clear,
2024-05-23,Thursday,109,rain,
2024-05-24,Friday,186,cloudy,
2024-05-25,Saturday,173,snow,
2024-05-26,Sunday,125,rain,
2024-05-27,Monday,78,clear,
2024-05-28,Tuesday,79,clear,
2024-05-29,Wednesday,104,rain,
2024-05-30,Thursday,118,rain,
2024-05-31,Friday,160,rain,
2024-06-01,Saturday,188,cloudy,
2024-06-02,Sunday,144,clear,
2024-06-03,Monday,81,clear,
2024-06-04,Tuesday,91,cloudy,
2024-06-05,Wednesday,98,clear,
2024-06-06,Thursday,75,snow,
2024-06-07,Friday,108,snow,
2024-06-08,Saturday,197,clear,
2024-06-09,Sunday,136,clear,
2024-06-10,Monday,89,clear,
2024-06-11,Tuesday,94,clear,
2024-06-12,Wednesday,106,clear,
2024-06-13,Thursday,96,rain,
2024-06-14,Friday,102,snow,
2024-06-15,Saturday,191,cloudy,
2024-06-16,Sunday,197,clear,Father's Day
2024-06-17,Monday,80,clear,
2024-06-18,Tuesday,78,clear,
2024-06-19,Wednesday,107,clear,
2024-06-20,Thursday,120,clear,
2024-06-21,Friday,148,cloudy,
2024-06-22,Saturday,144,snow,
2024-06-23,Sunday,136,cloudy,
2024-06-24,Monday,69,cloudy,
2024-06-25,Tuesday,54,snow,
2024-06-26,Wednesday,94,cloudy,
2024-06-27,Thursday,109,cloudy,
2024-06-28,Friday,170,rain,
2024-06-29,Saturday,156,snow,
2024-06-30,Sunday,134,cloudy,
2024-07-01,Monday,81,clear,
2024-07-02,Tuesday,51,snow,
2024-07-03,Wednesday,110,clear,
2024-07-04,Thursday,168,clear,July 4th
2024-07-05,Friday,169,cloudy,
2024-07-06,Saturday,170,clear,
2024-07-07,Sunday,127,clear,
2024-07-08,Monday,71,cloudy,
2024-07-09,Tuesday,81,cloudy,
2024-07-10,Wednesday,98,clear,
2024-07-11,Thursday,102,clear,
2024-07-12,Friday,163,cloudy,
2024-07-13,Saturday,201,clear,
2024-07-14,Sunday,125,cloudy,
2024-07-15,Monday,63,clear,
2024-07-16,Tuesday,55,snow,
