date,day_of_week,item,category,qty_sold,unit_price,food_cost_per_unit,revenue,food_cost_total
2025-04-01,Tuesday,Caesar Salad,Appetizer,12,12.00,2.80,144.00,33.60
2025-04-01,Tuesday,Burrata & Tomato,Appetizer,3,16.00,5.20,48.00,15.60
2025-04-01,Tuesday,Calamari Fritti,Appetizer,6,14.00,4.10,84.00,24.60
2025-04-01,Tuesday,Mushroom Bruschetta,Appetizer,2,11.00,2.20,22.00,4.40
2025-04-01,Tuesday,Soup of the Day,Appetizer,1,8.00,1.40,8.00,1.40
2025-04-01,Tuesday,Margherita Pizza,Entree,28,18.00,3.60,504.00,100.80
2025-04-01,Tuesday,Pepperoni Pizza,Entree,12,20.00,4.40,240.00,52.80
2025-04-01,Tuesday,Truffle Pizza,Entree,5,28.00,8.20,140.00,41.00
2025-04-01,Tuesday,Cacio e Pepe,Entree,23,22.00,3.80,506.00,87.40
2025-04-01,Tuesday,Spaghetti Carbonara,Entree,11,24.00,5.10,264.00,56.10
2025-04-01,Tuesday,Lasagna Bolognese,Entree,7,26.00,6.30,182.00,44.10
2025-04-01,Tuesday,Mushroom Risotto,Entree,9,25.00,5.40,225.00,48.60
2025-04-01,Tuesday,Branzino,Entree,7,38.00,14.20,266.00,99.40
2025-04-01,Tuesday,Osso Buco,Entree,4,42.00,16.80,168.00,67.20
2025-04-01,Tuesday,Veal Parmesan,Entree,8,32.00,9.20,256.00,73.60
2025-04-01,Tuesday,Eggplant Parmesan,Entree,6,22.00,4.40,132.00,26.40
2025-04-01,Tuesday,Caprese Sandwich,Lunch,1,14.00,3.20,14.00,3.20
2025-04-01,Tuesday,Tiramisu,Dessert,10,9.00,1.80,90.00,18.00
2025-04-01,Tuesday,Cannoli (2pc),Dessert,4,8.00,1.60,32.00,6.40
2025-04-01,Tuesday,Panna Cotta,Dessert,4,8.50,1.40,34.00,5.60
2025-04-01,Tuesday,Gelato,Dessert,11,7.00,1.30,77.00,14.30
2025-04-01,Tuesday,House Wine - Glass,Beverage,40,11.00,1.80,440.00,72.00
