appointment_id,client_id,appointment_date,day_of_week,time_slot,service,booked_on,days_booked_ahead,outcome
A5001,C1198,2024-11-01,Friday,12:00 PM,Color,2024-10-29,3,no-show
A5002,C1132,2024-11-01,Friday,6:00 PM,Blowout,2024-10-25,7,showed
A5003,C1032,2024-11-01,Friday,10:30 AM,Haircut,2024-10-31,1,showed
A5004,C1007,2024-11-01,Friday,1:30 PM,Balayage,2024-10-18,14,showed
A5005,C1164,2024-11-01,Friday,12:00 PM,Balayage,2024-10-29,3,no-show
A5006,C1013,2024-11-01,Friday,1:30 PM,Blowout,2024-10-31,1,showed
A5007,C1140,2024-11-01,Friday,1:30 PM,Balayage,2024-10-25,7,no-show
A5008,C1147,2024-11-01,Friday,1:30 PM,Highlights,2024-10-29,3,showed
A5009,C1052,2024-11-01,Friday,12:00 PM,Balayage,2024-10-29,3,late-cancel
A5010,C1085,2024-11-01,Friday,1:30 PM,Color,2024-10-31,1,showed
A5011,C1121,2024-11-01,Friday,3:00 PM,Balayage,2024-10-30,2,showed
A5012,C1158,2024-11-02,Saturday,1:30 PM,Balayage,2024-10-31,2,showed
A5013,C1145,2024-11-02,Saturday,10:30 AM,Blowout,2024-10-26,7,showed
A5014,C1053,2024-11-02,Saturday,12:00 PM,Blowout,2024-11-01,1,late-cancel
A5015,C1095,2024-11-02,Saturday,10:30 AM,Blowout,2024-10-30,3,showed
A5016,C1053,2024-11-02,Saturday,10:30 AM,Haircut,2024-10-30,3,showed
A5017,C1135,2024-11-02,Saturday,3:00 PM,Blowout,2024-10-26,7,showed
A5018,C1090,2024-11-02,Saturday,1:30 PM,Balayage,2024-10-12,21,showed
A5019,C1193,2024-11-02,Saturday,12:00 PM,Color,2024-10-31,2,showed
A5020,C1019,2024-11-02,Saturday,12:00 PM,Blowout,2024-10-19,14,showed
A5021,C1155,2024-11-02,Saturday,6:00 PM,Blowout,2024-10-26,7,no-show
A5022,C1181,2024-11-02,Saturday,12:00 PM,Highlights,2024-10-12,21,showed
A5023,C1148,2024-11-02,Saturday,1:30 PM,Highlights,2024-10-19,14,no-show
A5024,C1195,2024-11-02,Saturday,4:30 PM,Blowout,2024-10-26,7,showed
A5025,C1152,2024-11-04,Monday,1:30 PM,Color,2024-11-01,3,showed
A5026,C1056,2024-11-04,Monday,4:30 PM,Blowout,2024-10-05,30,showed
A5027,C1150,2024-11-04,Monday,12:00 PM,Haircut,2024-10-21,14,showed
A5028,C1003,2024-11-04,Monday,6:00 PM,Blowout,2024-10-05,30,showed
A5029,C1045,2024-11-05,Tuesday,1:30 PM,Haircut,2024-11-04,1,showed
A5030,C1133,2024-11-05,Tuesday,12:00 PM,Balayage,2024-11-02,3,showed
A5031,C1150,2024-11-05,Tuesday,6:00 PM,Color,2024-11-04,1,no-show
A5032,C1003,2024-11-05,Tuesday,12:00 PM,Blowout,2024-11-04,1,showed
A5033,C1017,2024-11-05,Tuesday,3:00 PM,Color,2024-11-04,1,showed
A5034,C1037,2024-11-06,Wednesday,6:00 PM,Highlights,2024-10-23,14,showed
A5035,C1053,2024-11-06,Wednesday,1:30 PM,Highlights,2024-10-30,7,showed
A5036,C1136,2024-11-06,Wednesday,1:30 PM,Color,2024-10-30,7,no-show
A5037,C1087,2024-11-06,Wednesday,6:00 PM,Balayage,2024-10-30,7,showed
A5038,C1111,2024-11-06,Wednesday,9:00 AM,Blowout,2024-10-07,30,showed
A5039,C1067,2024-11-06,Wednesday,3:00 PM,Highlights,2024-10-30,7,showed
A5040,C1102,2024-11-06,Wednesday,9:00 AM,Haircut,2024-11-03,3,showed
A5041,C1095,2024-11-07,Thursday,10:30 AM,Highlights,2024-11-06,1,showed
A5042,C1105,2024-11-07,Thursday,4:30 PM,Color,2024-11-05,2,no-show
A5043,C1064,2024-11-07,Thursday,1:30 PM,Highlights,2024-11-05,2,showed
A5044,C1168,2024-11-07,Thursday,12:00 PM,Color,2024-11-06,1,showed
